design.opt <- cbind(design1.uniq,opt.weight)

nrow(design.opt)
[1] 594

> design.opt
                  opt.weight
x.hat 9.54 2.34 0.002997003
x.hat 7.94 1.08 0.002997003
x.hat 9.50 0.04 0.000999001
x.hat 7.58 0.80 0.000999001
x.hat 9.70 0.60 0.001998002
x.hat 9.00 2.16 0.001998002
x.hat 9.28 0.34 0.000999001
x.hat 7.52 1.28 0.000999001
x.hat 9.34 2.30 0.000999001
x.hat 8.92 2.44 0.000999001
x.hat 7.74 0.98 0.000999001
x.hat 9.42 0.54 0.002997003
x.hat 9.76 0.20 0.001998002
x.hat 7.76 1.36 0.002997003
x.hat 9.54 2.12 0.001998002
x.hat 9.24 0.14 0.001998002
x.hat 7.80 0.72 0.003996004
x.hat 7.46 1.06 0.003996004
x.hat 9.58 0.34 0.000999001
x.hat 7.88 1.22 0.000999001
x.hat 9.80 0.56 0.000999001
x.hat 9.08 2.52 0.001998002
x.hat 9.52 0.06 0.000999001
> design.opt[351:500,]
                 opt.weight
x.hat 9.30 2.04 0.000999001
x.hat 7.62 1.38 0.002997003
x.hat 9.32 0.44 0.001998002
x.hat 7.52 0.86 0.001998002
x.hat 9.40 2.46 0.002997003
x.hat 7.72 1.12 0.000999001
